Month,Theme,abc13.com,abc7news.com,autonews.com,boston.com,bostonherald.com,breitbart.com,cbsnews.com,chicagotribune.com,denverpost.com,fox2now.com,foxnews.com,gothamist.com,huffingtonpost.com,kdvr.com,kron4.com,ktla.com,kxan.com,latimes.com,laweekly.com,mercurynews.com,miamiherald.com,miaminewtimes.com,nbcchicago.com,nbclosangeles.com,nbcnews.com,nbcnewyork.com,nbcphiladelphia.com,nbcsandiego.com,nbcwashington.com,newsday.com,newsmax.com,newsweek.com,npr.org,nydailynews.com,nypost.com,nytimes.com,observer.com,philly.com,phillyvoice.com,politico.com,seattlepi.com,seattletimes.com,stltoday.com,theonion.com,twincities.com,usatoday.com,villagevoice.com,westword.com,wgntv.com,wtop.com
Jul-18,env,1727,1796,427,1523,2795,2877,2023,3654,208,724,6397,151,1611,423,585,839,403,2650,22,546,6710,74,302,458,7690,382,363,333,548,1582,3080,3497,1669,1807,2026,3633,202,3177,147,2871,6453,6593,4010,18,161,3081,73,120,595,4009
Jul-18,health,3329,3448,762,2855,5548,5431,4138,7108,409,1389,12339,260,3129,840,1098,1647,739,5111,60,1031,12668,135,623,851,14762,722,674,575,1046,2927,5865,6694,3247,3448,3839,7008,351,6026,332,5372,12361,12459,7490,35,304,5714,121,249,1134,7682
Jul-18,eco,2213,2273,508,1879,3562,3531,2610,4672,256,879,7952,200,2118,587,700,997,482,3378,33,651,8518,78,390,591,9721,466,417,393,675,1881,3925,4449,2044,2258,2527,4638,240,3985,196,3509,7957,8353,5017,25,194,3837,74,129,799,5050
Sep-18,social,3943.0,3729.0,648.0,3320.0,7613.0,6312.0,4070.0,8279.0,24.0,2143.0,17991.0,536.0,2311.0,1083.0,1224.0,2082.0,1250.0,5417.0,,,15907.0,,961.0,939.0,20408.0,1141.0,850.0,941.0,1163.0,3319.0,5272.0,8247.0,3311.0,4591.0,4197.0,13923.0,549.0,4830.0,453.0,6456.0,16403.0,12937.0,9059.0,36.0,,6710.0,12.0,,1403.0,9746.0
Sep-18,conflict,5933.0,5563.0,1001.0,4905.0,11460.0,9580.0,6205.0,12231.0,36.0,3252.0,27148.0,797.0,3545.0,1617.0,1801.0,3095.0,1909.0,8255.0,,,24076.0,,1411.0,1364.0,30814.0,1761.0,1293.0,1416.0,1737.0,5040.0,7873.0,12548.0,5039.0,6793.0,6243.0,21085.0,842.0,7244.0,674.0,9643.0,24976.0,19491.0,13625.0,46.0,,10150.0,26.0,,2050.0,14514.0
Sep-18,env,1592.0,1475.0,246.0,1304.0,3098.0,2587.0,1679.0,3353.0,7.0,840.0,7386.0,226.0,906.0,469.0,490.0,836.0,502.0,2199.0,,,6504.0,,362.0,342.0,8175.0,480.0,338.0,365.0,432.0,1337.0,2087.0,3415.0,1301.0,1834.0,1617.0,5596.0,221.0,2035.0,182.0,2562.0,6788.0,5117.0,3741.0,14.0,,2669.0,8.0,,546.0,3936.0
Sep-18,health,2931.0,2830.0,526.0,2470.0,5957.0,4821.0,3111.0,6362.0,18.0,1616.0,13933.0,422.0,1821.0,863.0,957.0,1565.0,948.0,4215.0,,,12347.0,,716.0,703.0,15619.0,863.0,681.0,762.0,911.0,2541.0,3945.0,6353.0,2516.0,3427.0,3238.0,10716.0,433.0,3726.0,352.0,4962.0,12585.0,9748.0,6926.0,29.0,,5128.0,16.0,,1065.0,7401.0
Sep-18,eco,1954.0,1878.0,335.0,1678.0,3821.0,3241.0,2029.0,4149.0,15.0,1119.0,9032.0,277.0,1223.0,550.0,592.0,1092.0,639.0,2760.0,,,8076.0,,435.0,472.0,10224.0,559.0,445.0,473.0,578.0,1642.0,2689.0,4199.0,1663.0,2265.0,2047.0,6935.0,270.0,2475.0,213.0,3193.0,8456.0,6451.0,4647.0,14.0,,3382.0,12.0,,669.0,4951.0
Jan-18,social,3553.0,2955.0,508.0,1104.0,11172.0,6659.0,5625.0,10348.0,4125.0,1565.0,16484.0,,8185.0,1223.0,2138.0,2096.0,1511.0,16753.0,128.0,3757.0,11397.0,473.0,1292.0,934.0,17026.0,1251.0,681.0,899.0,1437.0,3688.0,9506.0,8734.0,3719.0,22009.0,5312.0,12440.0,993.0,7840.0,447.0,6775.0,13403.0,22112.0,18711.0,54.0,1202.0,5622.0,264.0,477.0,1145.0,7087.0
Jan-18,conflict,5461.0,4498.0,741.0,1681.0,16891.0,10051.0,8450.0,15403.0,6234.0,2346.0,24750.0,,12238.0,1781.0,3184.0,3075.0,2231.0,25319.0,196.0,5638.0,17129.0,745.0,1889.0,1361.0,25525.0,1864.0,1054.0,1372.0,2155.0,5621.0,14418.0,13132.0,5578.0,33293.0,8072.0,18981.0,1470.0,11673.0,670.0,10279.0,20312.0,33119.0,28438.0,82.0,1778.0,8473.0,407.0,718.0,1719.0,10679.0
