Theme,count,avg_tone
conflict,9383.0,-1.8340780525980074
eco,3131.0,-1.8139282376213803
env,2484.0,-1.8308392116749557
health,4717.0,-1.8445329148680676
social,6182.0,-1.8130006453254066
